ICD9_Code,ICD10_Code
V1062,Z856
V1063,Z856
V1069,Z856
V1071,Z8572
V1072,Z8571
V1079,Z8579
V1081,Z85830
V1082,Z85820
V1083,Z85828
V1084,Z85840
V1085,Z85841
V1086,Z85848
V1087,Z85850
V1088,Z85858
V1089,Z8589
V1090,Z859
V1091,Z859
V1241,Z86011
V1389,Z8600
V153,Z923
V1851,Z86010
V4281,Z9481
V4282,Z9484
V5041,Z4001
V5042,Z4001
V5049,Z4009
V509,Z4000
V510,Z421
V580,Z510
V5811,Z5111
V5812,Z5112
V5842,Z483
V5844,Z48290
V5849,Z5189
V661,Z5189
V662,Z5189
V667,Z515
V671,Z08
V672,Z08
V8741,Z9221
V8743,Z9223
V8746,Z9225
V8749,Z92850
